From;To;Length in meter
a2070;a2071;26832
a2070;a7070;35182
a2071;a2072;10404
a2071;a7071;35366
a2072;a2073;14153
a2072;a7072;19939
a2073;a2074;43985
a2073;a7073;25905
a2074;a2075;46616
a2074;a7074;49336
a2075;a2076;15985
a2075;a7075;16989
a2076;a2077;9375
a2076;a7076;47136
a2077;a2078;14081
a2077;a7077;33653
a2078;a2079;2110
a2078;a7078;6741
a2079;a2080;11539
a2079;a7079;42698
a2080;a2081;6543
a2080;a7080;14302
a2081;a2082;15020
a2081;a7081;37625
a2082;a2083;19947
a2082;a7082;32439
a2083;a2084;23447
a2083;a7083;43369
a2084;a2085;46945
a2084;a7084;21094
a2085;a2086;25987
a2085;a7085;35393
a2086;a2087;29437
a2086;a7086;39702
a2087;a2088;43056
a2087;a7087;4809
a2088;a2089;21129
a2088;a7088;44030
a2089;a2090;4140
a2089;a7089;14961
a2090;a2091;28786
a2090;a7090;11784
a2091;a2092;10150
a2091;a7091;35151
a2092;a2093;47085
a2092;a7092;3419
a2093;a2094;46101
a2093;a7093;4043
a2094;a2095;7725
a2094;a7094;38443
a2095;a2096;41941
a2095;a7095;18717
a2096;a2097;46339
a2096;a7096;42958
a2097;a2098;25510
a2097;a7097;15263
a2098;a2099;12654
a2098;a7098;51173
a2099;a2100;21829
a2099;a7099;3394
a2100;a2101;10328
a2100;a7100;22205
a2101;a2102;27168
a2101;a7101;40607
a2102;a2103;2971
a2102;a7102;13588
a2103;a2104;24679
a2103;a7103;31109
a2104;a2105;11942
a2104;a7104;34616
a2105;a2106;10777
a2105;a7105;10935
a2106;a2107;9683
a2106;a7106;35905
a2107;a2108;17897
a2107;a7107;33464
a2108;a2109;29625
a2108;a7108;26336
a2109;a2110;49780
a2109;a7109;48888
a2110;a2111;19953
a2110;a7110;44976
a2111;a2112;40031
a2111;a7111;27111
a2112;a2113;13907
a2112;a7112;3452
a2113;a2114;3301
a2113;a7113;5993
a2114;a2115;23717
a2114;a7114;3806
a2115;a2116;21190
a2115;a7115;5927
a2116;a2117;38749
a2116;a7116;27892
a2117;a2118;41712
a2117;a7117;37300
a2118;a2119;20988
a2118;a7118;37011
a2119;a2120;22002
a2119;a7119;39567
a2120;a2121;42599
a2120;a7120;14675
a2121;a2122;8821
a2121;a7121;29373
a2122;a2123;50991
a2122;a7122;31149
a2123;a2124;30406
a2123;a7123;50461
a2124;a2125;26517
a2124;a7124;5695
a2125;a2126;16186
a2125;a7125;9932
a2126;a2127;16769
a2126;a7126;41389
a2127;a2128;18001
a2127;a7127;3827
a2128;a2129;39281
a2128;a7128;7745
a2129;a2130;27579
a2129;a7129;30005
a2130;a2131;41369
a2130;a7130;48442
a2131;a2132;20241
a2131;a7131;7771
a2132;a2133;41830
a2132;a7132;44977
a2133;a2134;4088
a2133;a7133;21869
a2134;a2135;4271
a2134;a7134;22214
a2135;a2136;17205
a2135;a7135;33041
a2136;a2137;5946
a2136;a7136;38482
a2137;a2138;42880
a2137;a7137;48637
a2138;a2139;19164
a2138;a7138;11119
a2139;a2140;4223
a2139;a7139;24510
a2140;a2141;14544
a2140;a7140;38195
a2141;a2142;5129
a2141;a7141;23779
a2142;a2143;26724
a2142;a7142;38497
a2143;a2144;4106
a2143;a7143;38958
a2144;a2145;43464
a2144;a7144;44819
a2145;a2146;41106
a2145;a7145;41424
a2146;a2147;38517
a2146;a7146;50094
a2147;a2148;35233
a2147;a7147;6213
a2148;a2149;17143
a2148;a7148;21964
a2149;a2150;32955
a2149;a7149;20747
a2150;a2151;30657
a2150;a7150;19029
a2151;a2152;12266
a2151;a7151;23241
a2152;a2153;43049
a2152;a7152;11184
a2153;a2154;38161
a2153;a7153;30268
a2154;a2155;48360
a2154;a7154;27213
a2155;a2156;18732
a2155;a7155;3235
a2156;a2157;42255
a2156;a7156;25134
a2157;a2158;29195
a2157;a7157;20378
a2158;a2159;45017
a2158;a7158;4650
a2159;a2160;3257
a2159;a7159;14284
a2160;a2161;6052
a2160;a7160;6510
a2161;a2162;37380
a2161;a7161;4921
a2162;a2163;41932
a2162;a7162;20579
a2163;a2164;13675
a2163;a7163;4696
a2164;a2165;20965
a2164;a7164;2994
a2165;a2166;21456
a2165;a7165;45146
a2166;a2167;7347
a2166;a7166;32890
a2167;a2168;45804
a2167;a7167;24534
a2168;a2169;17067
a2168;a7168;20885
a2169;a2170;43868
a2169;a7169;51844
a2170;a2171;15885
a2170;a7170;14766
a2171;a2172;46123
a2171;a7171;15441
a2172;a2173;6968
a2172;a7172;32612
a2173;a2174;50274
a2173;a7173;34011
a2174;a2175;12053
a2174;a7174;39998
a2175;a2176;20118
a2175;a7175;3329
a2176;a2177;45363
a2176;a7176;25832
a2177;a2178;10293
a2177;a7177;34824
a2178;a2179;13939
a2178;a7178;20911
a2179;a2180;10554
a2179;a7179;40995
a2180;a2181;51528
a2180;a7180;44303
a2181;a2182;39992
a2181;a7181;8288
a2182;a2183;5719
a2182;a7182;5353
a2183;a2184;22428
a2183;a7183;10236
a2184;a2185;49632
a2184;a7184;33222
a2185;a2186;39119
a2185;a7185;2345
a2186;a2187;30129
a2186;a7186;51692
a2187;a2188;33863
a2187;a7187;5539
a2188;a2189;44268
a2188;a7188;14237
a2189;a2190;38600
a2189;a7189;26778
a2190;a2191;4513
a2190;a7190;13259
a2191;a2192;44704
a2191;a7191;33904
a2192;a2193;11062
a2192;a7192;27816
a2193;a2194;16290
a2193;a7193;46728
a2194;a2195;46603
a2194;a7194;26191
a2195;a2196;27062
a2195;a7195;27887
a2196;a2197;44771
a2196;a7196;43174
a2197;a2198;51509
a2197;a7197;5148
a2198;a2199;8645
a2198;a7198;7117
a2199;a2200;4580
a2199;a7199;31418
a2200;a2201;19725
a2200;a7200;48448
a2201;a2202;51351
a2201;a7201;40011
a2202;a2203;31007
a2202;a7202;29629
a2203;a2204;49670
a2203;a7203;30471
a2204;a2205;30012
a2204;a7204;46331
a2205;a2206;44279
a2205;a7205;24584
a2206;a2207;38913
a2206;a7206;10988
a2207;a2208;50471
a2207;a7207;13162
a2208;a2209;39289
a2208;a7208;42833
a2209;a2210;49024
a2209;a7209;21608
a2210;a2211;18425
a2210;a7210;3002
a2211;a2212;11808
a2211;a7211;6332
a2212;a2213;32596
a2212;a7212;29391
a2213;a2214;39282
a2213;a7213;4684
a2214;a2215;20305
a2214;a7214;43535
a2215;a2216;16883
a2215;a7215;48198
a2216;a2217;25051
a2216;a7216;21010
a2217;a2218;37224
a2217;a7217;12704
a2218;a2219;2900
a2218;a7218;37580
a2219;a2220;38979
a2219;a7219;19129
a2220;a2221;44831
a2220;a7220;25632
a2221;a2222;31324
a2221;a7221;15625
a2222;a2223;37675
a2222;a7222;49345
a2223;a2224;4919
a2223;a7223;15139
a2224;a2225;20286
a2224;a7224;32425
a2225;a2226;26519
a2225;a7225;32430
a2226;a2227;13523
a2226;a7226;49302
a2227;a2228;24547
a2227;a7227;11140
a2228;a2229;13612
a2228;a7228;19199
a2229;a2230;47197
a2229;a7229;4577
a2230;a2231;38499
a2230;a7230;22638
a2231;a2232;12983
a2231;a7231;23544
a2232;a2233;5921
a2232;a7232;41631
a2233;a2234;26037
a2233;a7233;40772
a2234;a2235;50091
a2234;a7234;8052
a2235;a2236;44915
a2235;a7235;44284
a2236;a2237;51129
a2236;a7236;29502
a2237;a2238;24190
a2237;a7237;11376
a2238;a2239;7684
a2238;a7238;48358
a2239;a2240;42680
a2239;a7239;30809
a2240;a2241;28524
a2240;a7240;27639
a2241;a2242;40823
a2241;a7241;33262
a2242;a2243;3331
a2242;a7242;46814
a2243;a2244;12394
a2243;a7243;49145
a2244;a2245;36395
a2244;a7244;31754
a2245;a2246;32534
a2245;a7245;48463
a2246;a2247;39465
a2246;a7246;35647
a2247;a2248;4901
a2247;a7247;29573
a2248;a2249;31621
a2248;a7248;31887
a2249;a2250;25631
a2249;a7249;12407
a2250;a2251;34705
a2250;a7250;25708
a2251;a2252;40767
a2251;a7251;7006
a2252;a2253;32590
a2252;a7252;38632
a2253;a2254;16803
a2253;a7253;20073
a2254;a2255;31359
a2254;a7254;18697
a2255;a2256;51119
a2255;a7255;30631
a2256;a2257;15328
a2256;a7256;29853
a2257;a2258;20172
a2257;a7257;10887
a2258;a2259;40778
a2258;a7258;25919
a2259;a2260;48550
a2259;a7259;39886
a2260;a2261;45235
a2260;a7260;18081
a2261;a2262;31250
a2261;a7261;5678
a2262;a2263;25194
a2262;a7262;49995
a2263;a2264;4870
a2263;a7263;16349
a2264;a2265;49299
a2264;a7264;51291
a2265;a2266;40799
a2265;a7265;41507
a2266;a2267;27154
a2266;a7266;48498
a2267;a2268;24951
a2267;a7267;33592
a2268;a2269;46175
a2268;a7268;22244
a2269;a2270;44098
a2269;a7269;32703
a2270;a2271;20212
a2270;a7270;10938
a2271;a2272;18430
a2271;a7271;39596
a2272;a2273;14007
a2272;a7272;24108
a2273;a2274;3643
a2273;a7273;48910
a2274;a2275;16988
a2274;a7274;43052
a2275;a2276;33518
a2275;a7275;18772
a2276;a2277;38390
a2276;a7276;2528
a2277;a2278;35765
a2277;a7277;13484
a2278;a2279;33238
a2278;a7278;14842
a2279;a2280;29690
a2279;a7279;43178
a2280;a2281;45332
a2280;a7280;16869
a2281;a2282;4191
a2281;a7281;38041
a2282;a2283;19067
a2282;a7282;41312
a2283;a2284;28488
a2283;a7283;34984
a2284;a2285;36625
a2284;a7284;35801
a2285;a2286;16048
a2285;a7285;21491
a2286;a2287;30918
a2286;a7286;27329
a2287;a2288;44227
a2287;a7287;24779
a2288;a2289;7480
a2288;a7288;4938
a2289;a2290;28314
a2289;a7289;4375
a2290;a2291;30460
a2290;a7290;20590
a2291;a2292;8828
a2291;a7291;2762
a2292;a2293;38837
a2292;a7292;36722
a2293;a2294;35240
a2293;a7293;31812
a2294;a2295;9031
a2294;a7294;29095
a2295;a2296;17567
a2295;a7295;22414
a2296;a2297;19211
a2296;a7296;35246
a2297;a2298;19729
a2297;a7297;40903
a2298;a2299;48738
a2298;a7298;22114
a2299;a2300;34972
a2299;a7299;28699
a2300;a2301;13466
a2300;a7300;31207
a2301;a2302;14199
a2301;a7301;50885
a2302;a2303;43874
a2302;a7302;46063
a2303;a2304;12645
a2303;a7303;45385
a2304;a2305;8401
a2304;a7304;14699
a2305;a2306;28923
a2305;a7305;46871
a2306;a2307;18766
a2306;a7306;49248
a2307;a2308;33254
a2307;a7307;18535
a2308;a2309;27525
a2308;a7308;16023
a2309;a2310;18364
a2309;a7309;10497
a2310;a2311;40703
a2310;a7310;21921
a2311;a2312;7461
a2311;a7311;25752
a2312;a2313;19912
a2312;a7312;47218
a2313;a2314;18508
a2313;a7313;13281
a2314;a2315;39062
a2314;a7314;20592
a2315;a2316;13037
a2315;a7315;23249
a2316;a2317;40509
a2316;a7316;29516
a2317;a2318;50706
a2317;a7317;51038
a2318;a2319;4267
a2318;a7318;8039
a2319;a2320;27931
a2319;a7319;15301
a2320;a2321;51789
a2320;a7320;44402
a2321;a2322;50028
a2321;a7321;10148
a2322;a2323;2732
a2322;a7322;2969
a2323;a2324;21536
a2323;a7323;43166
a2324;a2325;39126
a2324;a7324;8478
a2325;a2326;38638
a2325;a7325;19012
a2326;a2327;6391
a2326;a7326;45769
a2327;a2328;30932
a2327;a7327;3030
a2328;a2329;44776
a2328;a7328;34838
a2329;a2330;27209
a2329;a7329;50514
a2330;a2331;47972
a2330;a7330;49294
a2331;a2332;11336
a2331;a7331;15064
a2332;a2333;37850
a2332;a7332;6135
a2333;a2334;39861
a2333;a7333;3804
a2334;a2335;25639
a2334;a7334;16134
a2335;a2336;12544
a2335;a7335;28140
a2336;a2337;50153
a2336;a7336;47037
a2337;a2338;20659
a2337;a7337;6225
a2338;a2339;43135
a2338;a7338;16320
a2339;a2340;45604
a2339;a7339;7299
a2340;a2341;20287
a2340;a7340;46280
a2341;a2342;42156
a2341;a7341;38708
a2342;a2343;34053
a2342;a7342;31888
a2343;a2344;16486
a2343;a7343;13528
a2344;a2345;50887
a2344;a7344;40997
a2345;a2346;49004
a2345;a7345;50455
a2346;a2347;31382
a2346;a7346;37275
a2347;a2348;16004
a2347;a7347;47922
a2348;a2349;46374
a2348;a7348;38529
a2349;a2350;32128
a2349;a7349;41215
a2350;a2351;5948
a2350;a7350;46971
a2351;a2352;17749
a2351;a7351;44795
a2352;a2353;11118
a2352;a7352;13411
a2353;a2354;41482
a2353;a7353;2002
a2354;a2355;9888
a2354;a7354;24379
a2355;a2356;48294
a2355;a7355;10822
a2356;a2357;50383
a2356;a7356;29719
a2357;a2358;7887
a2357;a7357;17548
a2358;a2359;23789
a2358;a7358;8339
a2359;a2360;6420
a2359;a7359;19762
a2360;a2361;28946
a2360;a7360;51497
a2361;a2362;6968
a2361;a7361;46329
a2362;a2363;18627
a2362;a7362;26239
a2363;a2364;20632
a2363;a7363;34863
a2364;a2365;4759
a2364;a7364;16428
a2365;a2366;10680
a2365;a7365;6472
a2366;a2367;6134
a2366;a7366;25182
a2367;a2368;46710
a2367;a7367;43486
a2368;a2369;17555
a2368;a7368;10471
a2369;a2370;34456
a2369;a7369;8372
a2370;a2371;13729
a2370;a7370;15135
a2371;a2372;19568
a2371;a7371;51039
a2372;a2373;24767
a2372;a7372;43640
a2373;a2374;50462
a2373;a7373;37343
a2374;a2375;32648
a2374;a7374;30519
a2375;a2376;36166
a2375;a7375;43790
a2376;a2377;39648
a2376;a7376;39639
a2377;a2378;49982
a2377;a7377;2100
a2378;a2379;50400
a2378;a7378;29180
a2379;a2380;8737
a2379;a7379;42623
a2380;a2381;38972
a2380;a7380;14530
a2381;a2382;50425
a2381;a7381;27431
a2382;a2383;41186
a2382;a7382;10181
a2383;a2384;40090
a2383;a7383;32305
a2384;a2385;20206
a2384;a7384;32139
a2385;a2386;4989
a2385;a7385;31835
a2386;a2387;50416
a2386;a7386;44373
a2387;a2388;35242
a2387;a7387;13344
a2388;a2389;50525
a2388;a7388;36395
a2389;a2390;35455
a2389;a7389;43489
a2390;a2391;21947
a2390;a7390;24175
a2391;a2392;26141
a2391;a7391;36006
a2392;a2393;12564
a2392;a7392;23299
a2393;a2394;21146
a2393;a7393;20329
a2394;a2395;29190
a2394;a7394;51524
a2395;a2396;48736
a2395;a7395;38551
a2396;a2397;14279
a2396;a7396;27706
a2397;a2398;39547
a2397;a7397;2588
a2398;a2399;33702
a2398;a7398;45429
a2399;a2400;24145
a2399;a7399;24272
a2400;a2401;42811
a2400;a7400;12640
a2401;a2402;16599
a2401;a7401;38602
a2402;a2403;7407
a2402;a7402;13072
a2403;a2404;8198
a2403;a7403;24398
a2404;a2405;4724
a2404;a7404;11302
a2405;a2406;7164
a2405;a7405;37204
a2406;a2407;17083
a2406;a7406;40922
a2407;a2408;36089
a2407;a7407;6439
a2408;a2409;7510
a2408;a7408;34507
a2409;a2410;38685
a2409;a7409;12533
a2410;a2411;32227
a2410;a7410;24776
a2411;a2412;51409
a2411;a7411;50034
a2412;a2413;49739
a2412;a7412;18708
a2413;a2414;13534
a2413;a7413;49567
a2414;a2415;29956
a2414;a7414;20199
a2415;a2416;21319
a2415;a7415;24877
a2416;a2417;49735
a2416;a7416;2331
a2417;a2418;28071
a2417;a7417;31213
a2418;a2419;33061
a2418;a7418;7296
a2419;a2420;2111
a2419;a7419;17798
a2420;a2421;5167
a2420;a7420;30596
a2421;a2422;28900
a2421;a7421;30264
a2422;a2423;29850
a2422;a7422;26262
a2423;a2424;31927
a2423;a7423;18556
a2424;a2425;38431
a2424;a7424;51530
a2425;a2426;39357
a2425;a7425;32051
a2426;a2427;36917
a2426;a7426;2656
a2427;a2428;39878
a2427;a7427;36424
a2428;a2429;45210
a2428;a7428;28370
a2429;a2430;51712
a2429;a7429;16105
a2430;a2431;28465
a2430;a7430;43850
a2431;a2432;23339
a2431;a7431;32135
a2432;a2433;26095
a2432;a7432;6035
a2433;a2434;43113
a2433;a7433;37646
a2434;a2435;18317
a2434;a7434;50586
a2435;a2436;7666
a2435;a7435;12254
a2436;a2437;43644
a2436;a7436;31887
a2437;a2438;35765
a2437;a7437;12239
a2438;a2439;43250
a2438;a7438;50100
a2439;a2440;15093
a2439;a7439;45553
a2440;a2441;9774
a2440;a7440;43453
a2441;a2442;34363
a2441;a7441;19405
a2442;a2443;8782
a2442;a7442;19748
a2443;a2444;32073
a2443;a7443;23458
a2444;a2445;20853
a2444;a7444;48315
a2445;a2446;36280
a2445;a7445;3538
a2446;a2447;21047
a2446;a7446;32588
a2447;a2448;26815
a2447;a7447;49129
a2448;a2449;20388
a2448;a7448;33866
a2449;a2450;22518
a2449;a7449;12929
a2450;a2451;40890
a2450;a7450;18851
a2451;a2452;31281
a2451;a7451;2262
a2452;a2453;31685
a2452;a7452;7115
a2453;a2454;49936
a2453;a7453;30228
a2454;a2455;8811
a2454;a7454;49761
a2455;a2456;14390
a2455;a7455;39164
a2456;a2457;15367
a2456;a7456;27254
a2457;a2458;27752
a2457;a7457;10155
a2458;a2459;51901
a2458;a7458;12638
a2459;a2460;35704
a2459;a7459;50184
a2460;a2461;19128
a2460;a7460;6163
a2461;a2462;23841
a2461;a7461;2789
a2462;a2463;46391
a2462;a7462;8739
a2463;a2464;31330
a2463;a7463;9062
a2464;a2465;49616
a2464;a7464;14562
a2465;a2466;8822
a2465;a7465;3250
a2466;a2467;21956
a2466;a7466;17766
a2467;a2468;46325
a2467;a7467;11277
a2468;a2469;8809
a2468;a7468;44002
a2469;a2470;8452
a2469;a7469;31099
a2470;a2471;6398
a2470;a7470;35511
a2471;a2472;40332
a2471;a7471;10950
a2472;a2473;49793
a2472;a7472;37388
a2473;a2474;47334
a2473;a7473;5269
a2474;a2475;21847
a2474;a7474;3559
a2475;a2476;5731
a2475;a7475;28384
a2476;a2477;19303
a2476;a7476;13230
a2477;a2478;29438
a2477;a7477;42853
a2478;a2479;6120
a2478;a7478;12510
a2479;a2480;50039
a2479;a7479;12807
a2480;a2481;16914
a2480;a7480;21316
a2481;a2482;13457
a2481;a7481;22569
a2482;a2483;45348
a2482;a7482;22657
a2483;a2484;6842
a2483;a7483;7390
a2484;a2485;13278
a2484;a7484;30012
a2485;a2486;3492
a2485;a7485;16222
a2486;a2487;16530
a2486;a7486;8570
a2487;a2488;51989
a2487;a7487;26105
a2488;a2489;32272
a2488;a7488;7867
a2489;a2490;38081
a2489;a7489;3979
a2490;a2491;51130
a2490;a7490;46533
a2491;a2492;14336
a2491;a7491;14499
a2492;a2493;14449
a2492;a7492;24737
a2493;a2494;23084
a2493;a7493;51784
a2494;a2495;43352
a2494;a7494;26266
a2495;a2496;32765
a2495;a7495;28953
a2496;a2497;41679
a2496;a7496;10102
a2497;a2498;16417
a2497;a7497;41730
a2498;a2499;39237
a2498;a7498;30901
a2499;a2500;23769
a2499;a7499;31498
a2500;a2501;15351
a2500;a7500;18800
a2501;a2502;35161
a2501;a7501;8706
a2502;a2503;5196
a2502;a7502;41635
a2503;a2504;36335
a2503;a7503;9751
a2504;a2505;43031
a2504;a7504;16839
a2505;a2506;18044
a2505;a7505;49143
a2506;a2507;37134
a2506;a7506;36011
a2507;a2508;33392
a2507;a7507;44050
a2508;a2509;50946
a2508;a7508;12516
a2509;a2510;38797
a2509;a7509;30181
a2510;a2511;33772
a2510;a7510;11287
a2511;a2512;51592
a2511;a7511;6354
a2512;a2513;2192
a2512;a7512;20512
a2513;a2514;28408
a2513;a7513;40071
a2514;a2515;20327
a2514;a7514;26815
a2515;a2516;3660
a2515;a7515;37978
a2516;a2517;13033
a2516;a7516;9173
a2517;a2518;26775
a2517;a7517;33135
a2518;a2519;21164
a2518;a7518;21891
a2519;a2520;50089
a2519;a7519;15738
a2520;a2521;22190
a2520;a7520;43666
a2521;a2522;46754
a2521;a7521;35107
a2522;a2523;42555
a2522;a7522;28023
a2523;a2524;29437
a2523;a7523;28566
a2524;a2525;30487
a2524;a7524;50211
a2525;a2526;46132
a2525;a7525;37175
a2526;a2527;39187
a2526;a7526;7045
a2527;a2528;48965
a2527;a7527;49180
a2528;a2529;40749
a2528;a7528;39077
a2529;a2530;15514
a2529;a7529;19538
a2530;a2531;50545
a2530;a7530;9045
a2531;a2532;49901
a2531;a7531;47865
a2532;a2533;40325
a2532;a7532;36542
a2533;a2534;2638
a2533;a7533;7807
a2534;a2535;5801
a2534;a7534;6534
a2535;a2536;24068
a2535;a7535;7943
a2536;a2537;31129
a2536;a7536;38510
a2537;a2538;6134
a2537;a7537;28067
a2538;a2539;8346
a2538;a7538;23810
a2539;a2540;21139
a2539;a7539;15005
a2540;a2541;24575
a2540;a7540;10989
a2541;a2542;34219
a2541;a7541;38912
a2542;a2543;23600
a2542;a7542;42964
a2543;a2544;48280
a2543;a7543;4465
a2544;a2545;31288
a2544;a7544;25106
a2545;a2546;36349
a2545;a7545;31291
a2546;a2547;6226
a2546;a7546;30467
a2547;a2548;26438
a2547;a7547;14520
a2548;a2549;37982
a2548;a7548;26876
a2549;a2550;28333
a2549;a7549;49468
a2550;a2551;15382
a2550;a7550;40785
a2551;a2552;30026
a2551;a7551;4068
a2552;a2553;26372
a2552;a7552;4407
a2553;a2554;43905
a2553;a7553;48929
a2554;a2555;29149
a2554;a7554;15975
a2555;a2556;49273
a2555;a7555;7676
a2556;a2557;51525
a2556;a7556;27738
a2557;a2558;8287
a2557;a7557;19545
a2558;a2559;31767
a2558;a7558;12693
a2559;a2560;26986
a2559;a7559;12155
a2560;a2561;9513
a2560;a7560;49009
a2561;a2562;41720
a2561;a7561;14821
a2562;a2563;9807
a2562;a7562;50572
a2563;a2564;33990
a2563;a7563;51809
a2564;a2565;36760
a2564;a7564;13163
a2565;a2566;13498
a2565;a7565;40547
a2566;a2567;5910
a2566;a7566;38413
a2567;a2568;10002
a2567;a7567;31939
a2568;a2569;45962
a2568;a7568;41851
a2569;a2570;29497
a2569;a7569;18672
a2570;a2571;41240
a2570;a7570;47124
a2571;a2572;9186
a2571;a7571;2669
a2572;a2573;15973
a2572;a7572;15777
a2573;a2574;48705
a2573;a7573;4717
a2574;a2575;30265
a2574;a7574;10870
a2575;a2576;2175
a2575;a7575;17658
a2576;a2577;15525
a2576;a7576;43133
a2577;a2578;36780
a2577;a7577;49560
a2578;a2579;24013
a2578;a7578;50363
a2579;a2580;48778
a2579;a7579;24775
a2580;a2581;3170
a2580;a7580;14354
a2581;a2582;27117
a2581;a7581;8896
a2582;a2583;30429
a2582;a7582;24743
a2583;a2584;18166
a2583;a7583;48308
a2584;a2585;8336
a2584;a7584;5872
a2585;a2586;22455
a2585;a7585;16206
a2586;a2587;22968
a2586;a7586;31004
a2587;a2588;45774
a2587;a7587;34773
a2588;a2589;10869
a2588;a7588;8061
a2589;a2590;32515
a2589;a7589;47546
a2590;a2591;11055
a2590;a7590;32393
a2591;a2592;28683
a2591;a7591;46889
a2592;a2593;48943
a2592;a7592;15086
a2593;a2594;5693
a2593;a7593;18989
a2594;a2595;8548
a2594;a7594;9745
a2595;a2596;23738
a2595;a7595;2808
a2596;a2597;47729
a2596;a7596;26831
a2597;a2598;25295
a2597;a7597;20023
a2598;a2599;48834
a2598;a7598;42185
a2599;a2600;25167
a2599;a7599;20146
a2600;a2601;23707
a2600;a7600;25615
a2601;a2602;3346
a2601;a7601;48737
a2602;a2603;7690
a2602;a7602;36151
a2603;a2604;10946
a2603;a7603;36901
a2604;a2605;31986
a2604;a7604;2883
a2605;a2606;17459
a2605;a7605;27115
a2606;a2607;7548
a2606;a7606;34184
a2607;a2608;9679
a2607;a7607;43827
a2608;a2609;36538
a2608;a7608;23572
a2609;a2610;48784
a2609;a7609;37254
a2610;a2611;39286
a2610;a7610;47420
a2611;a2612;2245
a2611;a7611;25328
a2612;a2613;45715
a2612;a7612;28353
a2613;a2614;41546
a2613;a7613;31831
a2614;a2615;50192
a2614;a7614;18242
a2615;a2616;34973
a2615;a7615;18446
a2616;a2617;17934
a2616;a7616;36426
a2617;a2618;17172
a2617;a7617;34627
a2618;a2619;9217
a2618;a7618;32031
a2619;a2620;33599
a2619;a7619;12017
a2620;a2621;4916
a2620;a7620;24082
a2621;a2622;38517
a2621;a7621;9454
a2622;a2623;23169
a2622;a7622;9459
a2623;a2624;19769
a2623;a7623;20554
a2624;a2625;12355
a2624;a7624;16720
a2625;a2626;32205
a2625;a7625;38274
a2626;a2627;39958
a2626;a7626;23277
a2627;a2628;44337
a2627;a7627;29947
a2628;a2629;20412
a2628;a7628;44514
a2629;a2630;39576
a2629;a7629;11851
a2630;a2631;37552
a2630;a7630;46034
a2631;a2632;14223
a2631;a7631;24520
a2632;a2633;18904
a2632;a7632;24423
a2633;a2634;29273
a2633;a7633;48756
a2634;a2635;9749
a2634;a7634;47680
a2635;a2636;2089
a2635;a7635;17555
a2636;a2637;24576
a2636;a7636;43746
a2637;a2638;16943
a2637;a7637;21032
a2638;a2639;22419
a2638;a7638;24494
a2639;a2640;40585
a2639;a7639;19813
a2640;a2641;10342
a2640;a7640;32912
a2641;a2642;50088
a2641;a7641;27352
a2642;a2643;26341
a2642;a7642;3286
a2643;a2644;15428
a2643;a7643;43153
a2644;a2645;38871
a2644;a7644;27698
a2645;a2646;28566
a2645;a7645;16982
a2646;a2647;25260
a2646;a7646;27311
a2647;a2648;34066
a2647;a7647;48800
a2648;a2649;5409
a2648;a7648;33585
a2649;a2650;43738
a2649;a7649;30380
a2650;a2651;10313
a2650;a7650;42849
a2651;a2652;9197
a2651;a7651;12348
a2652;a2653;7212
a2652;a7652;17421
a2653;a2654;31788
a2653;a7653;34737
a2654;a2655;34445
a2654;a7654;17894
a2655;a2656;8884
a2655;a7655;40049
a2656;a2657;19477
a2656;a7656;14115
a2657;a2658;49206
a2657;a7657;45289
a2658;a2659;12951
a2658;a7658;36891
a2659;a2660;37537
a2659;a7659;33478
a2660;a2661;20153
a2660;a7660;48536
a2661;a2662;40952
a2661;a7661;35726
a2662;a2663;48776
a2662;a7662;27974
a2663;a2664;24515
a2663;a7663;12135
a2664;a2665;18518
a2664;a7664;35325
a2665;a2666;34313
a2665;a7665;3498
a2666;a2667;43708
a2666;a7666;41648
a2667;a2668;9607
a2667;a7667;16047
a2668;a2669;4892
a2668;a7668;31809
a2669;a2670;3947
a2669;a7669;18366
a2670;a2671;19098
a2670;a7670;12360
a2671;a2672;27141
a2671;a7671;22962
a2672;a2673;51393
a2672;a7672;31710
a2673;a2674;16129
a2673;a7673;44996
a2674;a2675;32229
a2674;a7674;46901
a2675;a2676;3002
a2675;a7675;27175
a2676;a2677;6090
a2676;a7676;49856
a2677;a2678;22713
a2677;a7677;42922
a2678;a2679;36986
a2678;a7678;46091
a2679;a2680;41286
a2679;a7679;39588
a2680;a2681;35460
a2680;a7680;10576
a2681;a2682;37808
a2681;a7681;9707
a2682;a2683;49942
a2682;a7682;28685
a2683;a2684;39869
a2683;a7683;31049
a2684;a2685;32519
a2684;a7684;14980
a2685;a2686;42679
a2685;a7685;45612
a2686;a2687;45501
a2686;a7686;38957
a2687;a2688;36650
a2687;a7687;3557
a2688;a2689;20507
a2688;a7688;24824
a2689;a2690;26884
a2689;a7689;30600
a2690;a2691;16231
a2690;a7690;31885
a2691;a2692;50706
a2691;a7691;36390
a2692;a2693;44527
a2692;a7692;13144
a2693;a2694;36151
a2693;a7693;16986
a2694;a2695;47016
a2694;a7694;42415
a2695;a2696;45144
a2695;a7695;16740
a2696;a2697;5999
a2696;a7696;44365
a2697;a2698;10005
a2697;a7697;3569
a2698;a2699;14167
a2698;a7698;7712
a2699;a2700;50876
a2699;a7699;26918
a2700;a2701;7324
a2700;a7700;9074
a2701;a2702;4649
a2701;a7701;19548
a2702;a2703;33114
a2702;a7702;23879
a2703;a2704;3112
a2703;a7703;22689
a2704;a2705;36648
a2704;a7704;51158
a2705;a2706;9113
